,name,class,path
10,02baf62e-11e2-4dde-97fb-e369b57d55d3___JR_B.Spot 8971.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\02baf62e-11e2-4dde-97fb-e369b57d55d3___JR_B.Spot 8971.JPG.jpg
11,032aa7c4-0a95-4f09-b0bb-1242f4f32d82___NREC_B.Spot 1889.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\032aa7c4-0a95-4f09-b0bb-1242f4f32d82___NREC_B.Spot 1889.JPG.jpg
12,03bb7042-3fd5-42e1-aa2c-d51d6843704c___JR_B.Spot 8925.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\03bb7042-3fd5-42e1-aa2c-d51d6843704c___JR_B.Spot 8925.JPG.jpg
13,0448a226-3d3a-494d-a026-a92b048689c7___JR_B.Spot 8897.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0448a226-3d3a-494d-a026-a92b048689c7___JR_B.Spot 8897.JPG.jpg
14,0495b4d4-66a4-438c-862d-c483f08e4a95___JR_B.Spot 3288.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0495b4d4-66a4-438c-862d-c483f08e4a95___JR_B.Spot 3288.JPG.jpg
15,04d46cfb-9cc8-4083-82af-ca2bb57c8182___NREC_B.Spot 1814.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\04d46cfb-9cc8-4083-82af-ca2bb57c8182___NREC_B.Spot 1814.JPG.jpg
16,05287bcb-610b-440f-9337-c4ce98bc3bbe___JR_B.Spot 3327.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\05287bcb-610b-440f-9337-c4ce98bc3bbe___JR_B.Spot 3327.JPG.jpg
17,0558ff5a-45c7-4ea0-9479-3f71f0048208___JR_B.Spot 3183.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0558ff5a-45c7-4ea0-9479-3f71f0048208___JR_B.Spot 3183.JPG.jpg
18,055a84c4-8286-4b44-816a-66b82d3bd4bc___NREC_B.Spot 9105.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\055a84c4-8286-4b44-816a-66b82d3bd4bc___NREC_B.Spot 9105.JPG.jpg
19,0576dd21-3958-46a5-ab99-f9865371bd1a___NREC_B.Spot 1957.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0576dd21-3958-46a5-ab99-f9865371bd1a___NREC_B.Spot 1957.JPG.jpg
20,05af15b5-fbda-4dab-a4ba-c783d531d24d___JR_B.Spot 3150.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\05af15b5-fbda-4dab-a4ba-c783d531d24d___JR_B.Spot 3150.JPG.jpg
21,05c6ea65-cce4-43da-b57b-a45321b0e51b___NREC_B.Spot 9048.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\05c6ea65-cce4-43da-b57b-a45321b0e51b___NREC_B.Spot 9048.JPG.jpg
22,0694ee73-2dbc-4583-9d2d-2b053ef0475b___NREC_B.Spot 1798.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0694ee73-2dbc-4583-9d2d-2b053ef0475b___NREC_B.Spot 1798.JPG.jpg
23,06d752a4-d4a5-439e-b374-231a2cc64032___NREC_B.Spot 1868.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\06d752a4-d4a5-439e-b374-231a2cc64032___NREC_B.Spot 1868.JPG.jpg
24,0705b53e-4c54-4fce-9bc0-833db0619f3d___JR_B.Spot 9068.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0705b53e-4c54-4fce-9bc0-833db0619f3d___JR_B.Spot 9068.JPG.jpg
25,0719e8e8-c1ae-4d5a-b29c-dbadc36d13f3___NREC_B.Spot 1947.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0719e8e8-c1ae-4d5a-b29c-dbadc36d13f3___NREC_B.Spot 1947.JPG.jpg
26,0726c166-3471-41a8-8fe6-18600e89e802___NREC_B.Spot 1812.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0726c166-3471-41a8-8fe6-18600e89e802___NREC_B.Spot 1812.JPG.jpg
27,080b107a-192f-40ce-8942-d8ccca8dfc52___NREC_B.Spot 1872.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\080b107a-192f-40ce-8942-d8ccca8dfc52___NREC_B.Spot 1872.JPG.jpg
28,08485974-1e38-4e34-b296-fadd9cc26942___NREC_B.Spot 9193.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\08485974-1e38-4e34-b296-fadd9cc26942___NREC_B.Spot 9193.JPG.jpg
29,09035eae-2a1c-4718-8877-5270a1fe8462___JR_B.Spot 3280.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\09035eae-2a1c-4718-8877-5270a1fe8462___JR_B.Spot 3280.JPG.jpg
30,0915c9a9-25b0-4728-be01-86e5cecb57df___NREC_B.Spot 1816.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0915c9a9-25b0-4728-be01-86e5cecb57df___NREC_B.Spot 1816.JPG.jpg
31,092b3e29-d29a-482f-9207-3cd5fbed6710___JR_B.Spot 3238.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\092b3e29-d29a-482f-9207-3cd5fbed6710___JR_B.Spot 3238.JPG.jpg
32,09ae534a-e931-4f83-8545-cf330dfebae9___NREC_B.Spot 9210.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\09ae534a-e931-4f83-8545-cf330dfebae9___NREC_B.Spot 9210.JPG.jpg
33,0a0dbf1f-1131-496f-b337-169ec6693e6f___NREC_B.Spot 9241.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0a0dbf1f-1131-496f-b337-169ec6693e6f___NREC_B.Spot 9241.JPG.jpg
34,0a4c007d-41ab-4659-99cb-8a4ae4d07a55___NREC_B.Spot 1954.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0a4c007d-41ab-4659-99cb-8a4ae4d07a55___NREC_B.Spot 1954.JPG.jpg
35,0a9cfb27-280e-475a-bbb4-8eeaeff38b8c___NREC_B.Spot 9177.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0a9cfb27-280e-475a-bbb4-8eeaeff38b8c___NREC_B.Spot 9177.JPG.jpg
36,0abffc81-6be8-4b17-a83c-4d2830e30382___JR_B.Spot 9076.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0abffc81-6be8-4b17-a83c-4d2830e30382___JR_B.Spot 9076.JPG.jpg
37,0b27c03f-b3bc-4d96-9b76-6fbd779404b9___NREC_B.Spot 1799.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0b27c03f-b3bc-4d96-9b76-6fbd779404b9___NREC_B.Spot 1799.JPG.jpg
38,0b47ce18-7cfe-45e8-b21e-b83cb6282455___JR_B.Spot 3162.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0b47ce18-7cfe-45e8-b21e-b83cb6282455___JR_B.Spot 3162.JPG.jpg
39,0bd0f439-013b-40ed-a6d1-4e67e971d437___JR_B.Spot 3272.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0bd0f439-013b-40ed-a6d1-4e67e971d437___JR_B.Spot 3272.JPG.jpg
40,0c1eb1fd-9e3a-4396-81bc-7d1d3eccc5ed___JR_B.Spot 3369.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0c1eb1fd-9e3a-4396-81bc-7d1d3eccc5ed___JR_B.Spot 3369.JPG.jpg
41,0c2392f6-3e69-4baf-b9f3-197623f6631a___JR_B.Spot 3176.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0c2392f6-3e69-4baf-b9f3-197623f6631a___JR_B.Spot 3176.JPG.jpg
42,0c4e75b2-e4aa-437e-815c-636271d66bec___JR_B.Spot 3244.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0c4e75b2-e4aa-437e-815c-636271d66bec___JR_B.Spot 3244.JPG.jpg
43,0c6f6805-490e-438c-b9cd-3fd7ee29f31b___NREC_B.Spot 9123.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0c6f6805-490e-438c-b9cd-3fd7ee29f31b___NREC_B.Spot 9123.JPG.jpg
44,0c99cb45-b4e0-4ade-bba5-fab3b678f0bb___JR_B.Spot 8912.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0c99cb45-b4e0-4ade-bba5-fab3b678f0bb___JR_B.Spot 8912.JPG.jpg
45,0ce74db6-be9b-4c43-a104-6a3f9bcd2de2___NREC_B.Spot 1827.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0ce74db6-be9b-4c43-a104-6a3f9bcd2de2___NREC_B.Spot 1827.JPG.jpg
46,0d2635e7-df23-4ceb-b3ba-3af50bb58357___NREC_B.Spot 1874.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0d2635e7-df23-4ceb-b3ba-3af50bb58357___NREC_B.Spot 1874.JPG.jpg
47,0d524d59-fb02-481b-9034-64f1de0da914___NREC_B.Spot 9060.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0d524d59-fb02-481b-9034-64f1de0da914___NREC_B.Spot 9060.JPG.jpg
48,0d8421cd-eebc-4018-b591-12352dd970a7___JR_B.Spot 3234.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0d8421cd-eebc-4018-b591-12352dd970a7___JR_B.Spot 3234.JPG.jpg
49,0d8445ac-6333-42b0-bf32-950a2dd83908___NREC_B.Spot 1862.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0d8445ac-6333-42b0-bf32-950a2dd83908___NREC_B.Spot 1862.JPG.jpg
50,0d9b55df-a8c0-4784-b1e4-957c8d679513___NREC_B.Spot 1825.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0d9b55df-a8c0-4784-b1e4-957c8d679513___NREC_B.Spot 1825.JPG.jpg
51,0e57b44f-bb06-43ec-8688-5a7985b461e7___JR_B.Spot 8970.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0e57b44f-bb06-43ec-8688-5a7985b461e7___JR_B.Spot 8970.JPG.jpg
52,0efa6329-22f4-4bf0-a67a-17b0d5e4d2f2___NREC_B.Spot 9145.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0efa6329-22f4-4bf0-a67a-17b0d5e4d2f2___NREC_B.Spot 9145.JPG.jpg
53,0f2b941b-cce2-46e1-a6e3-6924604e9926___NREC_B.Spot 9073.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0f2b941b-cce2-46e1-a6e3-6924604e9926___NREC_B.Spot 9073.JPG.jpg
54,0f72db9c-d635-4415-9781-68937328aed2___NREC_B.Spot 9188.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0f72db9c-d635-4415-9781-68937328aed2___NREC_B.Spot 9188.JPG.jpg
55,0fcbdf76-fcc4-4271-986a-9466a784d404___JR_B.Spot 3374.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0fcbdf76-fcc4-4271-986a-9466a784d404___JR_B.Spot 3374.JPG.jpg
56,0fdb66e8-b17d-42c2-bc6d-30dcfab8fcae___JR_B.Spot 9058.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0fdb66e8-b17d-42c2-bc6d-30dcfab8fcae___JR_B.Spot 9058.JPG.jpg
57,0fe8a42b-b943-43d6-88c4-78abdcbfe02d___NREC_B.Spot 9236.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\0fe8a42b-b943-43d6-88c4-78abdcbfe02d___NREC_B.Spot 9236.JPG.jpg
58,1024fbd6-ded7-4532-becb-aeb624ea832b___JR_B.Spot 8884.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\1024fbd6-ded7-4532-becb-aeb624ea832b___JR_B.Spot 8884.JPG.jpg
59,1044c742-39a0-4b1a-984f-3cb2bdeda94b___NREC_B.Spot 9219.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\1044c742-39a0-4b1a-984f-3cb2bdeda94b___NREC_B.Spot 9219.JPG.jpg
60,1092e87d-5d66-43cd-8344-43b393d86065___NREC_B.Spot 9244.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\1092e87d-5d66-43cd-8344-43b393d86065___NREC_B.Spot 9244.JPG.jpg
61,10af9ff3-16c3-4cb0-8af0-71d3b8442206___NREC_B.Spot 9090.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\10af9ff3-16c3-4cb0-8af0-71d3b8442206___NREC_B.Spot 9090.JPG.jpg
62,11092e1c-9fdc-4405-85b9-a8d7548f12bb___JR_B.Spot 9051.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\11092e1c-9fdc-4405-85b9-a8d7548f12bb___JR_B.Spot 9051.JPG.jpg
63,113d374f-8b12-454c-84cc-ee91043bc988___NREC_B.Spot 9146.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\113d374f-8b12-454c-84cc-ee91043bc988___NREC_B.Spot 9146.JPG.jpg
64,1181b18f-8d1d-4ba1-9fba-dfe397c585ac___NREC_B.Spot 1846.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\1181b18f-8d1d-4ba1-9fba-dfe397c585ac___NREC_B.Spot 1846.JPG.jpg
65,11a23270-53e7-41b6-8c79-91caeaf9cfa6___JR_B.Spot 9050.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\11a23270-53e7-41b6-8c79-91caeaf9cfa6___JR_B.Spot 9050.JPG.jpg
66,11b85334-0029-430e-873d-9402bd9e5e9f___JR_B.Spot 9031.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\11b85334-0029-430e-873d-9402bd9e5e9f___JR_B.Spot 9031.JPG.jpg
67,11e6ce0a-8511-485a-b22c-21b978d28e5e___JR_B.Spot 3383.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\11e6ce0a-8511-485a-b22c-21b978d28e5e___JR_B.Spot 3383.JPG.jpg
68,121268d0-b5e9-452b-aa45-df90ddcc5ee5___JR_B.Spot 8876.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\121268d0-b5e9-452b-aa45-df90ddcc5ee5___JR_B.Spot 8876.JPG.jpg
69,1219f26f-a23a-4c2a-99f0-407fc785c74a___JR_B.Spot 3332.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\1219f26f-a23a-4c2a-99f0-407fc785c74a___JR_B.Spot 3332.JPG.jpg
70,12342367-f62b-40d0-897b-77bd1edbd3d1___JR_B.Spot 3199.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\12342367-f62b-40d0-897b-77bd1edbd3d1___JR_B.Spot 3199.JPG.jpg
71,12c953a0-bd3e-45d0-aaea-5139f5d63e01___JR_B.Spot 8863.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\12c953a0-bd3e-45d0-aaea-5139f5d63e01___JR_B.Spot 8863.JPG.jpg
72,12c9c98f-afc9-4c12-8a97-007e5a40712a___NREC_B.Spot 9053.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\12c9c98f-afc9-4c12-8a97-007e5a40712a___NREC_B.Spot 9053.JPG.jpg
73,12f47cff-1a75-47ec-99d2-01720786e478___NREC_B.Spot 1859.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\12f47cff-1a75-47ec-99d2-01720786e478___NREC_B.Spot 1859.JPG.jpg
74,131dd897-98e3-45f0-9b4a-48471c4cbf4c___JR_B.Spot 8845.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\131dd897-98e3-45f0-9b4a-48471c4cbf4c___JR_B.Spot 8845.JPG.jpg
75,1360c0b1-4eb4-491b-8544-738d3c420828___NREC_B.Spot 1977.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\1360c0b1-4eb4-491b-8544-738d3c420828___NREC_B.Spot 1977.JPG.jpg
76,1385e1e7-c7a5-4edb-8273-2f6a54c583fa___NREC_B.Spot 9128.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\1385e1e7-c7a5-4edb-8273-2f6a54c583fa___NREC_B.Spot 9128.JPG.jpg
77,13955856-c347-4039-ba30-09ea39d66534___NREC_B.Spot 9114.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\13955856-c347-4039-ba30-09ea39d66534___NREC_B.Spot 9114.JPG.jpg
78,139a5c07-332c-4a2d-8bf2-bf33ce9184c6___NREC_B.Spot 1892.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\139a5c07-332c-4a2d-8bf2-bf33ce9184c6___NREC_B.Spot 1892.JPG.jpg
79,141a46fa-9293-4810-9cf6-b329346f8fb2___JR_B.Spot 8995.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\141a46fa-9293-4810-9cf6-b329346f8fb2___JR_B.Spot 8995.JPG.jpg
80,144ae14f-dbf4-4dfa-9d47-98fb33009a48___JR_B.Spot 3364.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\144ae14f-dbf4-4dfa-9d47-98fb33009a48___JR_B.Spot 3364.JPG.jpg
81,146d24cd-0c7e-458b-9f82-7b27525b04e4___JR_B.Spot 3329.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\146d24cd-0c7e-458b-9f82-7b27525b04e4___JR_B.Spot 3329.JPG.jpg
82,14a96020-2720-43c5-8638-e70b90ebd573___JR_B.Spot 9039.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\14a96020-2720-43c5-8638-e70b90ebd573___JR_B.Spot 9039.JPG.jpg
83,14c4fd88-6d2a-4701-94ce-ab9e4b277f57___JR_B.Spot 8875.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\14c4fd88-6d2a-4701-94ce-ab9e4b277f57___JR_B.Spot 8875.JPG.jpg
84,14fa67ae-6059-40e9-9eca-2c5000c1d9cd___NREC_B.Spot 9225.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\14fa67ae-6059-40e9-9eca-2c5000c1d9cd___NREC_B.Spot 9225.JPG.jpg
85,15b7cf0f-46ea-4390-a902-375b5b68e3fd___JR_B.Spot 3320.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\15b7cf0f-46ea-4390-a902-375b5b68e3fd___JR_B.Spot 3320.JPG.jpg
86,15f3b9e4-9127-4404-904b-173dbe878fd6___JR_B.Spot 3226.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\15f3b9e4-9127-4404-904b-173dbe878fd6___JR_B.Spot 3226.JPG.jpg
87,162a3375-31e6-48f4-9b78-ab35054fb86c___JR_B.Spot 3397.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\162a3375-31e6-48f4-9b78-ab35054fb86c___JR_B.Spot 3397.JPG.jpg
88,162f0add-8d7d-477f-a724-cdfc2cc7de77___NREC_B.Spot 9154.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\162f0add-8d7d-477f-a724-cdfc2cc7de77___NREC_B.Spot 9154.JPG.jpg
89,168a11c9-159b-468c-a6d9-07d0b61c42c9___JR_B.Spot 3193.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\168a11c9-159b-468c-a6d9-07d0b61c42c9___JR_B.Spot 3193.JPG.jpg
90,1694ae00-3c5f-488c-9402-e65c70c73cf2___JR_B.Spot 3179.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\1694ae00-3c5f-488c-9402-e65c70c73cf2___JR_B.Spot 3179.JPG.jpg
91,16e558e3-0aa4-472b-b393-eae1fb4fd62e___NREC_B.Spot 1875.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\16e558e3-0aa4-472b-b393-eae1fb4fd62e___NREC_B.Spot 1875.JPG.jpg
92,17000d8e-8095-4f00-b704-b94b1c531d8d___JR_B.Spot 3384.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\17000d8e-8095-4f00-b704-b94b1c531d8d___JR_B.Spot 3384.JPG.jpg
93,1732db7e-9901-46df-b20e-3ca49ff1dbad___NREC_B.Spot 1791.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\1732db7e-9901-46df-b20e-3ca49ff1dbad___NREC_B.Spot 1791.JPG.jpg
94,17557939-f9e2-435a-a4e7-f4d3cff8aa8b___JR_B.Spot 3107.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\17557939-f9e2-435a-a4e7-f4d3cff8aa8b___JR_B.Spot 3107.JPG.jpg
95,176a9f0a-b815-4e4d-88d4-0960610f723b___NREC_B.Spot 1820.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\176a9f0a-b815-4e4d-88d4-0960610f723b___NREC_B.Spot 1820.JPG.jpg
96,17737361-6967-452a-ac5d-efebaa1d8a35___NREC_B.Spot 9127.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\17737361-6967-452a-ac5d-efebaa1d8a35___NREC_B.Spot 9127.JPG.jpg
97,177e323a-7c1d-41f2-a6b3-8ea30795054f___JR_B.Spot 8941.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\177e323a-7c1d-41f2-a6b3-8ea30795054f___JR_B.Spot 8941.JPG.jpg
98,178e960f-3250-4378-9783-765b65e54217___NREC_B.Spot 1881.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\178e960f-3250-4378-9783-765b65e54217___NREC_B.Spot 1881.JPG.jpg
99,179067a6-1012-4a23-8f09-e413300e9f32___NREC_B.Spot 9085.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\179067a6-1012-4a23-8f09-e413300e9f32___NREC_B.Spot 9085.JPG.jpg
100,17c4557b-7a8f-4ded-b11c-6c5ba3532f37___JR_B.Spot 8824.JPG.jpg,Pepper__bell___Bacterial_spot,saved_imgs\Pepper__bell___Bacterial_spot\17c4557b-7a8f-4ded-b11c-6c5ba3532f37___JR_B.Spot 8824.JPG.jpg
